# Urdu word -> Roman spelling, from the aligned region of
# Roman-Urdu-Parl. Built by scripts/build_translit_dict.py (ADR-014).
# Do not rebuild from the whole corpus: 90% of it is misaligned.
urdu	roman
آبشاریں	aabsharin
آبلہ	aabla
آبنائے	abnaye
آبنوس	abnos
آبپاشی	aab
آبکاری	abkari
آبگینوں	aabginon
آبی	aabi
آبیاری	abyari
آبیانہ	aabyana
آبے	wala
آت	aat
آتا	aata
آتاہے	aatahe
آتش	aatish
آتشبازی	aatishbazi
آتشزدگی	atishzadgi
آتشگیر	aatshgir
آتشی	aatshi
آتشیں	aatsheen
آتما	attmma
آتی	aati
آتیں	aatin
آتے	atay
آثار	assaar
آج	aaj
آجا	aja
آجاؤ	aajao
آجائیں	ajayeen
آجائے	aajay
آجاتا	ajata
آجاتی	ajati
آجاتے	aajate
آجانا	aajana
آجانے	ajany
آجتک	par
آجر	ajir
آجروں	aajron
آجرہ	ajra
آجرین	aajrin
آجکل	aajkal
آخر	aakhir
آخرالذکر	aakhralzkr
آخرت	akhirat
آخرمیں	aakhrmin
آخری	aakhri
آخور	akhore
آخون	akhoon
آخوند	aakhond
آخیر	akher
آداب	aadaab
آداہ	aadah
آدتیا	aditya
آدتیہ	aadtih
آدرش	aadarsh
آدرشوں	aadrshon
آدرشی	aadrshi
آدم	aadam
آدمجی	aadmji
آدمی	aadmi
آدمیت	aadmit
آدمیوں	admion
آدھ	aadh
آدھا	aadha
آدھی	aadhi
آدھے	adhay
آدی	aadi
آذاد	aazad
آذادی	azadi
آذار	aazaar
آذان	aazan
آذر	azer
آذربائجان	aazrbayjan
آذربائیجان	azerbaijan
آر	are
آرئی	aaryi
آرا	aara
آراء	aaraa
آرائش	araish
آرائشی	araishi
آرائی	aarai
آرائیاں	aaraiyan
آرائیوں	aarayyon
آرائیں	aarayin
آرائے	aaraye
آراستہ	aaraasta
آرام	aaraam
آرامی	aarami
آرایشی	araishi
آربیٹریشن	aarbitrishn
آرتھر	arthur
آرتھوڈوکس	aarthodoks
آرتی	aarti
آرد	aard
آرزؤں	aarzuon
آرزو	arzoo
آرزوئیں	aarzoyeen
آرزوں	aarazun
آرسی	arsee
آرلینڈو	aarlindo
آرم	arm
آرمرڈ	aarmrd
آرمز	aarmz
آرمسٹرانگ	aarmstrang
آرمڈ	armed
آرمی	army
آرمینیا	arminia
آرمینیائی	aarminyayi
آرنلڈ	aarnld
آرنے	aarne
آرٹ	art
آرٹس	arts
آرٹسٹ	aartst
آرٹلری	aartlri
آرٹیلری	aartilri
آرٹیکل	article
آرپار	se
آرچ	aarch
آرڈر	order
آرڈینس	jari
آرڈینسن	aardinsn
آرڈیننس	ordinence
آرڈینینس	aardinins
آرڈینیٹر	aardinitr
آرکائیو	aarkayyo
آرکسٹرا	orchestra
آرکنساس	aarknsas
آرکٹک	aarktk
آرکیٹکٹ	aarkitkt
آرکیٹیکٹ	aarkitikt
آرکیٹیکچر	architecture
آرکیڈ	aarkid
آرگن	aargan
آرگنائزر	organisers
آرگنائزیشن	organization
آرگنائزیشنوں	aargnayzishnon
آرگنائیزیشن	aargnayizishn
آرگینک	organic
آرہ	aarah
آرہا	araha
آرہاہے	aarhahe
آرہی	aa
آرہے	arhay
آری	aarey
آریا	aarya
آریان	aryan
آریانہ	ariana
آرین	aarin
آریوس	aaryoos
آریوسیت	aaryosiat
آریہ	aairah
آرے	aaray
آزا	aaza
آزاد	azad
آزادئ	aazady
آزادانہ	azadana
آزادنہ	aazadnh
آزادي	azaadi
آزادکشمیرکے	aazadkshmirke
آزادی	azaadi
آزادیوں	azadion
آزار	dil
آزاری	aazari
آزدی	aazdi
آزر	azar
آزربائیجان	aazrbayijan
آزردگی	aazurdghi
آزردہ	aazurda
آزما	aazma
آزماؤں	aazmaoun
آزمائش	azmaish
آزمائشوں	aazmayshon
آزمائشی	aazmaishi
آزمائی	aazmai
آزمائیں	aazmayin
آزمائے	aazamaa_e
آزمانے	azmaane
آزمايا	aazmaaya
آزمایا	aazmaaya
آزمودہ	azmooda
آس	aas
آسائش	asayish
آسائشوں	aasayshon
آسام	aasam
آسامی	aasami
آسامیوں	aasamyon
آسان	aasaan
آسانی	aasani
آسانیاں	aasanyan
آساں	aasan
آستانہ	astana
آستانے	astane
آستاں	aastaan
آستین	aasteen
آسرا	aasra
آسمان	aasman
آسمانوں	asmano
آسمانی	aasmani
آسماں	aasmaa
آسن	aasen
آسودگی	aasoudgi
آسودہ	aasooda
آسودۂ	aasooda
آسٹر	aastr
آسٹرو	aastro
آسٹریا	austria
آسٹریائی	aastryayi
آسٹریلوی	australvi
آسٹریلیا	australia
آسٹریلیائی	autraliyai
آسٹریلین	australian
آسٹرین	aastreen
آسٹن	aastn
آسڑیا	austria
آسکا	asaka
آسکتا	aasakta
آسکتی	askati
آسکتے	aaskte
آسکر	oscar
آسکی	aaski
آسکیں	aa
آسکے	aasakay
آسی	asee
آسیا	aasia
آسیان	aasyan
آسیب	asaib
آسیہ	asya
آشا	aasha
آشام	aasham
آشتی	aashtee
آشر	aashr
آشرم	aashrm
آشرواد	aashirwaad
آشفتہ	asham
آشنا	aashna
آشنائی	ashanie
آشوب	aashob
آشور	aashor
آشوری	ashoori
آشوریہ	aashorih
آشکار	aashkaar
آشکارا	aashkara
آشیانہ	aashiyina
آشیر	aashir
آشیرباد	aashirbad
آصف	asif
آصفہ	asifa
آصفیہ	asfia
آعظم	aaazm
آغا	agha
آغاز	aaghaz
آغازسے	aaghazse
آغازکردیا	ka
آغازی	aghaze
آغوش	agosh
آف	of
آفات	afaat
آفاتی	aafati
آفاق	afaq
آفاقی	aafaqi
آفاقیت	aafaqiat
آفت	aafat
آفتاب	aftaab
آفر	offer
آفريدی	afridi
آفریدی	afridi
آفرین	afreen
آفرینی	aafrini
آفریں	afreen
آفس	office
آفسر	aafsr
آفسیٹ	aafsit
آفندی	afandi
آفٹر	after
آفیسر	officer
آفیسرز	officers
آفیسروں	aafisron
آفیشل	official
آقا	aaqa
آقاؤں	aaqaon
آقائے	aaqaye
آل	all
آلا	ala
آلات	alaat
آلاتی	aalati
آلام	alaam
آلان	aalaan
آلاپ	aalap
آلتی	aalti
آلف	alf
آلندے	aalnde
آلو	aalo
آلوؤں	aluon
آلود	alood
آلودگی	aloodgi
آلودہ	aaloda
آلوک	aalok
آلہ	aala
آلۂ	aala
آلی	aali
آلے	alay
آم	aam
آماجگاہ	aamajgah
آمادگی	amaadgi
آمادہ	amaada
آمادۂ	amaada
آمان	aaman
آمد	aamad
آمداور	aamdavr
آمدرفت	aamdrft
آمدن	amdan
آمدنی	aamdani
آمدنیوں	aamdnyon
آمدو	aamdo
آمدورفت	amad
آمدکی	hazrat
آمدہ	aamd_h
آمدید	aamdeed
آمر	amir
آمرانہ	aamranah
آمری	aamri
آمریت	aamriyat
آمریتوں	aamriton
آمریکی	aamriki
آملا	aamla
آملیں	aamlin
آملے	aamle
آمنا	aamna
آمنہ	amina
آمنے	aamnay
آمو	amo
آموز	amooz
آموزش	aamozash
آموزی	aamozi
آمون	amoon
آموں	aamon
آمیز	aamaiz
آمیزش	ameezash
آمیزہ	amezah
آمیزی	amaizi
آمیزے	amezay
آمین	ameeen
آن	aan
آنا	aana
آنت	aant
آنتوں	anton
آنجہانی	aanjhani
آنحضرت	anhazrat
آنحضور	ahazoor
آندرے	andray
آندھرا	aandhra
آندھراپردیش	aandhraprdish
آندھی	aandhi
آندھیاں	aandhiyan
آندھیوں	aandhiyon
آندی	aaundi
آنر	honor
آنرز	honours
آنریری	aanriri
آنسو	ansoo
آنسوؤں	aanso-on
آنسوئوں	ansooun
آنند	aanand
آنٹی	aunti
آنچ	aanch
آنچل	aanchal
آنکھ	aankhh
آنکھوں	aankhon
آنکھیں	ankhen
آنگن	aangan
آنگنوں	aanganon
آنہ	aanah
آنہوں	ahoon
آنی	aani
آنیوالے	aaniwale
آنے	anay
آو	ao
آوار	aawar
آواران	aawaran
آوارگی	avargi
آوارہ	aawara
آواز	aawaz
آوازوں	awazon
آوازی	awazi
آوازیں	aawazian
آواگون	aawagoon
آور	aawar
آورد	aaward
آوروں	awaron
آوری	aawri
آوٹ	out
آوپر	oopar
آویز	aawez
آویزاں	awezan
آویزش	aavizsh
آویزشوں	aavizshon
آوے	aawe
آيا	aaya
آيت	aayat
آٹا	aatta
آٹو	auto
آٹوموبائلز	aatomobaylz
آٹومیٹک	kalashnikov
آٹھ	aath
آٹھواں	aathwan
آٹھوں	aathon
آٹھویں	aathween
آٹے	aattay
آپ	aap
آپا	aapa
آپرچونیٹی	aaprchoniti
آپریش	aaprish
آپریشن	operation
آپریشنز	operations
آپریشنل	aaprishnl
آپریٹر	opreter
آپریٹرز	operators
آپریٹنگ	operating
آپس	aapas
آپسی	aapsi
آپشن	option
آپنے	aapne
آپکا	aapka
آپکو	aapko
آپکی	apkee
آپکے	apke
آپے	aapay
آچکا	aachuka
آچکی	chuki
آچکے	aachukay
آچے	aache
آڈر	aadr
آڈرز	aadrz
آڈٹ	audit
آڈیشن	aadishn
آڈینس	audiens
آڈیو	audio
آڈیٹر	aaditr
آڈیٹوریم	aaditorim
آڑ	aarr
آڑھی	aarhi
آڑے	aade
آک	aak
آکاش	aakash
آکر	aakar
آکس	aaks
آکسائڈ	ki
آکسائیڈ	oxide
آکسفرڈ	aaksfrd
آکسفورڈ	oxford
آکسفورڈشائر	aaksfordshayr
آکسیجن	oxygen
آکلینڈ	oakland
آکھڑے	aakhrhe
آگ	aag
آگئی	aagai
آگئیں	agaien
آگئے	aagaye
آگا	aaga
آگاہ	aagah
آگاہی	aagahi
آگرو	aagro
آگرہ	agrah
آگرے	aagre
آگست	aagst
آگسٹا	aagsta
آگہی	aag_hi
آگیا	agaya
آگے	agay
آگےمروہ	agay
آں	aan
آہ	aah
آہا	ahaa
آہستگی	ahistagi
آہستہ	aahista
آہن	aahn
آہنگ	aahang
آہنگی	ahangi
آہنی	aahinii
آہو	aho
آہوں	aanhon
آہٹ	aahat
آہٹیں	ahhtain
آیئے	aayye
آیا	aaya
آیات	ayaat
آیاہے	aayahe
آیت	aayat
آیتوں	ayaton
آیتیں	ayatain
آید	aayd
آیندہ	aaynd_h
آیو	awyoo
آیورویدک	aayoroydk
آیوڈین	iodine
آیہ	aayea
آیی	aayi
آیین	aayin
ؤں	on
ئب	yb
ئد	yd
ئر	yr
ئز	yz
ئزہ	yzh
ئل	fiza
ئلی	yli
ئم	ym
ئندہ	ynd_h
ئی	yi
ئیر	yir
ئیں	yin
ئیے	yie
ئے	ye
ئےرئیسہ	ye
ا	a
ائد	ayd
ائر	ayr
ائرلائن	airline
ائرلائنز	ayrlaynz
ائرلینڈ	ayrlind
ائرپورٹ	airport
ائرکنڈیشن	ayrkndishn
ائس	ays
ائمہ	aymh
ائمۂ	woh
ائيرلائن	ayirlayn
ائی	ayi
ائیر	air
ائیرفورس	ayirfors
ائیرلائن	ayirlayn
ائیرلائنز	ayirlaynz
ائیرپورٹ	airport
ائیرپورٹس	airports
ائین	ayin
ائے	aye
اانہیں	aanhin
ااور	aavr
اایک	aayk
اب	ab
ابا	abba
اباحت	ibahat
اباد	abad
اباریق	abariq
اباسین	abasin
ابال	ubaal
ابالنے	ubaalne
ابتدئی	abtdyi
ابتدا	ibtida
ابتداء	ibtida
ابتدائ	ibtidai
ابتدائي	ibtidayi
ابتدائی	ibtidayi
ابتدائیہ	abtdayih
ابتدائے	ibtidaye
ابتذال	ibtizal
ابتر	ab-tar
ابتری	abtari
ابتلا	ibtila
ابتک	abtak
ابتہاج	ibtihaj
ابجد	abjd
ابد	abadd
ابدال	abdal
ابدالی	abdaali
ابدی	abdi
ابدیت	abdiyat
ابر	abr
ابرار	abrar
ابراھیم	abrahim
ابراھیمی	abrahimi
ابراہام	abraham
ابراہم	abraham
ابراہيم	ibrahim
ابراہیم	ibrahim
ابراہیمی	ibraahimi
ابرق	abraq
ابرو	abrow
ابرک	abrak
ابرہہ	abrah
ابرہیم	ibarheem
ابریق	abreeq
ابطال	abtaal
ابل	ubal
ابلا	abla
ابلاغ	ablaagh
ابلاغی	iblaghi
ابلاغیات	ablaghyat
ابلتا	ubalta
ابلیس	iblees
ابلے	ublay
ابن	ibn
ابنا	abna
ابو	abbu
ابواب	abwab
ابوالحسن	abwalhsn
ابوالخیر	abwalkhir
ابوالفضل	abwalfzl
ابواللیث	abwallis
ابوالکلام	abwalklam
ابوبکر	abubaker
ابوجا	aboja
ابوجہل	aboj_hl
ابوحنیفہ	abohnifh
ابوداؤد	abbu-dawood
ابوذر	abuzer
ابوزر	abozr
ابوزید	abozid
ابوسالم	ki
ابوسفیان	abu-safyaan
ابوطالب	abu
ابوطلحہ	abotlh_h
ابوظبی	abozbi
ابوظہبی	abozhbi
ابوغریب	aboghrib
ابوفراج	ke
ابوقتادہ	aboqtad_h
ابولہب	abu
ابوہریرہ	abu-hurera
ابھار	ubhaar
ابھارا	ubhara
ابھارتا	abharta
ابھارتے	abharte
ابھارنا	ubharna
ابھارنے	ubhaarne
ابھاری	ubhari
ابھارے	abhare
ابھر	ubhar
ابھرا	ubhra
ابھرتا	ubharta
ابھرتی	ubharti
ابھرتے	ubhartay
ابھرنا	ubharna
ابھرنے	ubharnay
ابھرواں	ubharwan
ابھری	ubhri
ابھریں	ubhrain
ابھرے	ubhray
ابھی	abhi
ابھیشیک	abhishik
ابہام	ibham
ابی	abi
ابیب	abib
ابیض	abyaz
ابیک	aback
ابے	abay
ات	it-
اتا	ata
اتابک	atabak
اتاترک	atatrk
اتار	utaar
اتارا	utaara
اتارنا	utaarna
اتارنے	utaarnay
اتاری	utari
اتاریں	utarain
اتارے	utaarey
اتاشی	atashi
اتالیق	ataleeq
اتاہ	utah
اتباع	itebaa
اتحاد	ittehaad
اتحادوں	athadon
اتحادی	ittihadi
اتحادیوں	itihadiyon
اتر	utar
اترا	itra
اترتا	utartaa
اترتی	utarti
اترتے	utartay
اترنا	utarna
اترنے	utrney
اتری	utri
اتریں	utrain
اترے	utre
اتش	utsah
اتصال	itsaal
اتصالات	atsalat
اتفاق	ittafaq
اتفاقا	ittifiaqan
اتفاقی	ittifaqi
اتفاقیہ	ittifaqia
اتم	atam
اتمام	itmam
اتمان	atman
اتمانزئی	atmanzyi
اتن	atan
اتنا	itna
اتنہا	atnha
اتنی	itni
اتنے	itnay
اتو	ato
اتوار	itwaar
اتھارٹی	atharti
اتھارٹیز	athartiz
اتھاہ	athah
اتھر	uthar
اتھرو	athru
اتھل	athl
اتھلیٹکس	athlitks
اتھوپیا	athopya
اتھے	ithe
اتہاس	attehas
اتی	ati
اتے	utay
اثاثوں	asason
اثاثہ	asasa
اثاثے	asasay
اثار	asar
اثبات	asbat
اثباتی	asbati
اثر	assar
اثرا	asra
اثرات	asraat
اثرانداز	asrandaz
اثررسوخ	asrrsokh
اثرو	asro
اثری	asri
اثمار	is
اثنا	isna
اثناء	hain
اثنین	asneen
اثیر	aseer
اج	uj
اجابت	ajabat
اجارہ	ajarah
اجازت	ijazat
اجازہ	ijaza
اجازۃ	ijaza
اجالا	ujala
اجاگر	ujagar
اجتماع	ijtima
اجتماعات	ijitmaat
اجتماعی	ijtimai
اجتماعیت	ijtimaiyat
اجتناب	ijtinab
اجتہاد	ijtehaad
اجتہادی	ijtihadi
اجداد	ajdaad
اجر	ajar
اجرا	ijra
اجراء	ajra
اجرام	ajraam
اجرت	ujrat
اجرتوں	ajrton
اجرک	ajrk
اجزا	ajza
اجزاء	juzwi
اجزائے	ajzaye
اجسام	ajsaam
اجل	ajal
اجلاس	ijlaas
اجلاسوں	ajlason
اجلال	ajlal
اجلی	ujli
اجلے	ujaly
اجماع	ijma
اجمال	ajmal
اجمالی	ajmali
اجمل	ajmal
اجمیر	ajmeer
اجمیری	ajmiri
اجناس	ijnaas
اجنبی	ajnabi
اجنبیت	ajnabaiyat
اجنبیوں	ajnabion
اجوائن	ajwain
اجوکا	ajoka
اجڑ	ujar
اجڑا	ujrraa
اجڑے	ujre
اجی	aji
اجیت	ajeet
اجیتابھ	ajitabh
اجیرن	ajeeran
اجین	ajinn
اجے	aje
احادیث	ahadees
احاطوں	ahaton
احاطہ	ihata
احاطے	ihatay
احباب	ahbaab
احبار	ahbar
احتجاج	ehtijaj
احتجاجا	ahtjaja
احتجاجی	ehtajaji
احتراز	ihtiraz
احترام	ehtram
احتراما	ehtraman
احترامی	ahtrami
احتساب	ehatasab
احتسابی	ihtasaabi
احتشام	ehtisham
احتلام	ethlaam
احتماع	ahtmaa
احتمال	ihtimal
احتمالی	ahtmali
احتمام	ahtmam
احتیاج	ehtiaaj
احتیاط	ahthyat
احتیاطی	ahteyati
احد	ahad
احرار	ehrar
احرام	ahram
احزاب	ahzaab
احسا	ehsaa
احساس	ehsas
احساسات	ehsasat
احسان	ahsaan
احسانات	ahsanat
احسانوں	ehsaanon
احسن	ahsen
احفاظ	ahfaaz
احكام	ahkam
احل	ahl
احمد	ahmed
احمدآباد	ahmdaabad
احمدانی	ahmdani
احمدکے	ahmdke
احمدی	ahmedi
احمدیت	ahmdit
احمدیوں	ahmadiyon
احمدیہ	ahmadiyya
احمر	ahmar
احمق	lagen
احمقانہ	ehmaqana
احوال	ahwaal
احکام	ehkaam
احکامات	ehkamaat
احیا	ihyaa
احیائے	ahya-e
اخبا	akhba
اخبار	akhbar
اخبارات	akhbarat
اخباروں	akhbaron
اخباری	akhbaari
اختتام	ekhtataam
اختتامی	ikhtitami
اختر	akhtar
اخترا	akhtra
اختراع	ikhtira
اختراعات	akhtraaat
اختراعی	akhtraay
اختصار	ikhtisaar
اختصاری	ikhtisari
اختصاصی	akhtsasi
اختلاط	ikhtilaat
اختلاف	ikhtilaaf
اختلافات	ikhtilafat
اختلافی	ikhtalafi
اختيار	ikhtiyar
اختیا	akhtya
اختیار	ikhtiyar
اختیارا	akhtyara
اختیارات	ikhtiyarat
اختیاراتی	is
اختیارت	ikhtiyarat
اختیارکرنے	akhtyarkrne
اختیارکی	akhtyarki
اختیارکیا	akhtyarkya
اختیاری	ikhtiyaari
اخذ	akhaz
اخر	akkhar
اخراج	ikhraj
اخراجا	akhraja
اخراجات	akhrajaat
اخرجات	akhrjat
اخرم	akhram
اخروٹ	akhrot
اخروی	ukharwi
اخضر	akhzir
اخطب	akhtab
اخفا	ikhfa
اخفائے	akhfaye
اخفش	akhfash
اخلاص	ikhlaas
اخلاط	ikhlaat
اخلاف	ekhlaf
اخلاق	ikhlaq
اخلاقی	ikhlaqi
اخلاقیات	ikhlaqiaat
اخوان	akwan
اخوت	akhuwat
اخوند	akhond
اخونزادہ	akhwanzada
اخیار	akhyar
اخیر	akheer
اد	ad
ادا	ada
ادائگی	adaygi
ادائیگی	adaigi
ادائیگیاں	adayigyan
ادائیگیوں	adayigyon
ادائیں	adayey
ادائے	adaye
ادارت	adart
ادارتی	adarti
اداروں	idaron
ادارہ	idaara
ادارۂ	idaara
اداری	idaari
اداریہ	idaria
اداریے	adarie
ادارے	idaray
اداس	udaas
اداسی	udasi
اداکئے	adakye
اداکار	adakar
اداکاراؤں	adakaraon
اداکارائیں	adakaren
اداکاروں	adakaron
اداکارہ	adakara
اداکاری	adakari
اداکرتی	adakrti
اداکرنا	adakrna
اداکیا	adakya
ادب	adab
ادبار	adbar
ادبی	adbi
ادبیات	adbiyat
ادبیت	adbiat
ادت	udit
ادخال	adkhal
ادرار	adrar
ادراک	idraak
ادراکی	idraki
ادرک	adrak
ادریس	adrees
ادغام	adgham
ادل	adal
ادلہ	adlaa
ادنی	adna
ادو	ado
ادوار	adwaar
ادویات	adwiyaat
ادویہ	adwiyah
اديبہ	adiba
ادکاری	adkari
ادھ	adh
ادھار	udhaar
ادھر	idhar
ادھم	adham
ادھورا	adhoora
ادھوری	adhuri
ادھیڑ	udhair
ادھیکار	adheekar
ادی	adi
ادیان	adyan
ادیب	adeeb
ادیبانہ	adeebanah
ادیبوں	adeebon
ادیبہ	adiba
اذان	azaan
اذلان	azlan
اذن	azan
اذکار	azkar
اذہان	izhan
اذیت	aziat
اذیتوں	aziyatoun
اذیتیں	azeeyaten
ار	ar
اراؤنڈ	around
ارائیں	arain
ارادا	arada
ارادت	eradat
ارادوں	iraadon
اراديت	aradit
ارادہ	iradah
ارادی	iraadi
ارادیت	aradit
ارادے	iraday
اراضی	araazi
اراک	arak
اراکان	arakan
اراکین	arakeen
ارب	arab
ارباب	arbab
اربتھ	arbth
اربعہ	arbaa
اربن	arbn
اربوں	arbon
اربکان	arbkan
اربیل	arbil
ارتالیس	artalis
ارتباط	artbat
ارتداد	irtdaad
ارتضی	irtiza
ارتعاش	irtiaash
ارتفاع	irtifa
ارتقا	irtiqa
ارتقاء	irtiqa
ارتقائی	irtiqai
ارتکاب	irtikaab
ارتکاز	irtkaz
ارتھ	arth
ارتھی	arthi
ارتیوم	artyom
ارجمند	arjmand
ارجن	arjun
ارجنا	arjna
ارجنٹائن	urgentine
ارجنٹینا	argentina
ارد	ird
اردشیر	ardsher
اردن	urdan
اردنی	ardni
اردو	urdu
اردوئے	urdu-e
اردوداں	ardodan
اردوزبان	ardozban
اردوغان	ardoghan
اردومیں	ardomin
اردگان	ardgan
اردگرد	ird
اردہ	ard_h
ارزاں	arzaan
ارزل	arzl
ارسال	arsaal
ارسطو	arastoo
ارسلان	arsalan
ارسٹھ	arsth
ارشاد	irshad
ارشادات	arshadat
ارشتہ	arishta
ارشد	arshad
ارض	arz
ارضياتی	arzyati
ارضی	arzi
ارضیات	arziat
ارضیاتی	arzyati
ارغوانی	arghawani
ارغون	arghon
ارفع	arfah
ارق	arq
ارقم	arqam
ارل	arl
ارم	iram
ارمان	armaan
ارمغان	armghan
ارمن	ermen
ارمنی	armni
ارن	earn
ارنا	arna
ارنسٹ	arnst
ارنسٹو	arnsto
ارو	aro
ارواح	samaa
ارود	urdu
اروزگان	arozgan
ارون	aron
اروناچل	arunachal
ارونگ	arong
اروڑہ	arorh_h
اروین	urveen
ارچنا	archana
ارکان	arkaan
ارکین	arkin
ارگون	arghon
ارہر	arhr
اریزونا	arizona
ارینا	areena
ارینج	arrange
اریٹریا	aritrya
اریگیشن	arigishn
ارے	arrey
از	az
ازاد	azad
ازادی	azadi
ازالہ	azaala
ازالے	azale
ازان	azan
ازاں	azan
ازبک	uzbak
ازبکستان	azbkstan
ازبکوں	azbkon
ازجلد	azjld
ازخود	azkhud
ازدواج	izdiwaj
ازدواجی	azdawaji
ازراہ	azrah
ازروئے	azroe
ازسر	az
ازل	azal
ازلی	azli
ازم	azm
ازمنہ	uzmana
ازمنۂ	uzmana
ازمیر	azmir
ازواج	azwaaj
ازوف	azof
ازوقت	az-waqat
ازکم	azkam
ازہر	azher
ازی	azee
ازیں	azeen
اس	is
اسا	asa
اسائنمنٹ	assignment
اساتذہ	asateza
اساتذۂ	asateza
اساتزہ	asatzh
اسادا	asada
اساس	asaas
اساسی	asasi
اساطیر	asateer
اساطیری	asatiri
اسالیب	asaleeb
اسامہ	osama
اسامی	asaami
اسانی	asani
اساں	asan
اسباب	asbaab
اسباق	asbaq
است	ast
استاد	ustaad
استادوں	ustadon
استادی	ustaadi
استان	astaan
استانی	ustani
استبداد	istibdaad
استبدادی	istabdadi
استبول	astbol
استثنا	istasna
استثنائی	istasnai
استثنی	istashna
استحالہ	istahala
استحسان	istahsan
استحصال	istehsal
استحصالی	par
استحقاق	istehqaq
استحکام	istehkaam
استخارہ	isstikhara
استخراج	istikhraaj
استخراجی	istakhraji
استدعا	istada
استدلال	istadlaal
استدلالی	istidlali
استر	aster
استراحت	istirahat
استرداد	istirdaad
استرے	ustaray
استشنا	istashna
استصواب	istiswaab
استطاعت	istetat
استعارہ	isteara
استعارے	istaaray
استعال	ista-aal
استعانت	isteanat
استعجاب	astajab
استعداد	istedad
استعفا	astafa
استعفوں	isifon
استعفی	istifa
استعفے	isteefay
استعما	istima
استعمار	astamar
استعماری	astamari
استعمال	istemaal
استعمالی	istimali
استغاثہ	istighasa
استغراق	istaghraaq
استغفار	astaghfar
استفادہ	istifada
استفادے	istifaday
استفسار	istafsaar
استفسارات	astfsarat
استقامت	istiqamat
استقبال	istaqbaal
استقبالی	astqbali
استقبالیہ	istaqbalia
استقرائی	istiqrai
استقرار	istiqraar
استقلال	istiqlal
استمال	astmal
استمعال	astmaal
استنباط	istanbat
استنبول	istanbul
استنجا	astnja
استوا	istewa
استوائی	astawai
استوار	ustuwar
استور	astor
استھان	istihan
استہزا	istehza
استیصال	istisaal
اسحاق	ishaq
اسحق	ashq
اسد	asad
اسدآباد	asdaabad
اسداللہ	asdallh
